build_number,execution_time,name,status,duration_ms,error
28,2025-11-19 09:48:45,tests/test_1login_ui.py::test_valid_login,passed,1170,
28,2025-11-19 09:48:45,tests/test_cart_ui.py::test_add_item_to_cart,passed,960,
28,2025-11-19 09:48:45,tests/test_logout_ui.py::test_logout_after_login,passed,1807,
28,2025-11-19 09:48:45,tests/test_negative_ui.py::test_invalid_credentials,passed,838,
28,2025-11-19 09:48:45,tests/test_negative_ui.py::test_empty_fields,passed,812,
28,2025-11-19 09:48:45,tests/test_negative_ui.py::test_locked_out_user,passed,847,
tests/test_1login_ui.py::test_valid_login,failed,2757,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load"""
tests/test_cart_ui.py::test_add_item_to_cart,failed,1882,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load"""
tests/test_logout_ui.py::test_logout_after_login,failed,1883,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load"""
tests/test_negative_ui.py::test_invalid_credentials,failed,1908,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load"""
tests/test_negative_ui.py::test_empty_fields,passed,792,
tests/test_negative_ui.py::test_locked_out_user,failed,468,"playwright._impl._errors.Error: Page.goto: net::ERR_CONNECTION_RESET at https://www.saucedemo.com/
Call log:
  - navigating to ""https://www.saucedemo.com/"", waiting until ""load"""
31,2025-11-19 10:32:05,tests/test_1login_ui.py::test_valid_login,passed,2656,
31,2025-11-19 10:32:05,tests/test_cart_ui.py::test_add_item_to_cart,passed,919,
31,2025-11-19 10:32:05,tests/test_logout_ui.py::test_logout_after_login,passed,1792,
31,2025-11-19 10:32:05,tests/test_negative_ui.py::test_invalid_credentials,passed,859,
31,2025-11-19 10:32:05,tests/test_negative_ui.py::test_empty_fields,passed,829,
31,2025-11-19 10:32:05,tests/test_negative_ui.py::test_locked_out_user,passed,876,
32,2025-11-19 12:17:49,tests/test_1login_ui.py::test_valid_login,passed,1749,
32,2025-11-19 12:17:49,tests/test_cart_ui.py::test_add_item_to_cart,passed,701,
32,2025-11-19 12:17:49,tests/test_logout_ui.py::test_logout_after_login,passed,1581,
32,2025-11-19 12:17:49,tests/test_negative_ui.py::test_invalid_credentials,passed,635,
32,2025-11-19 12:17:49,tests/test_negative_ui.py::test_empty_fields,passed,615,
32,2025-11-19 12:17:49,tests/test_negative_ui.py::test_locked_out_user,passed,649,
